time,latitude,longitude,temperature_2m,apparent_temperature,relative_humidity_2m,precipitation,weather_code,wind_speed_10m
2026-08-27T10:00,37.5665,126.978,26.5,31.5,77,0.0,1,0.4
2026-08-28T07:00,37.5665,126.978,23.8,27.9,88,0.0,3,5.1
2026-08-29T00:00,37.5665,126.978,24.2,29.3,95,0.0,3,4.0
2026-08-29T01:00,37.5665,126.978,24.0,29.0,95,0.3,51,4.5
2026-08-29T02:00,37.5665,126.978,23.9,28.9,95,0.1,51,4.1
2026-08-29T03:00,37.5665,126.978,23.6,28.7,96,0.1,51,3.1
2026-08-29T04:00,37.5665,126.978,23.4,28.7,97,0.0,2,1.3
2026-08-29T05:00,37.5665,126.978,23.3,28.6,98,0.0,2,1.1
2026-08-29T06:00,37.5665,126.978,23.0,28.3,99,0.0,3,1.1
2026-08-29T07:00,37.5665,126.978,23.1,28.4,98,0.0,2,1.1
2026-08-29T08:00,37.5665,126.978,23.6,29.1,97,0.0,2,0.7
2026-08-29T09:00,37.5665,126.978,24.5,30.1,95,0.0,1,2.1
2026-08-29T10:00,37.5665,126.978,25.9,31.3,87,0.0,1,2.5
2026-08-29T11:00,37.5665,126.978,26.7,31.9,82,0.0,1,3.5
2026-08-29T12:00,37.5665,126.978,27.5,32.6,78,0.0,1,4.1
2026-08-29T13:00,37.5665,126.978,27.8,32.7,76,0.0,1,5.4
2026-08-29T14:00,37.5665,126.978,28.1,32.8,73,0.0,1,5.2
2026-08-30T00:00,37.5665,126.978,23.6,28.0,90,0.0,3,3.1
2026-08-30T01:00,37.5665,126.978,23.3,27.8,91,0.0,3,1.6
2026-08-30T02:00,37.5665,126.978,23.1,27.6,93,0.0,2,2.2
2026-08-30T03:00,37.5665,126.978,22.9,27.5,93,0.0,2,1.8
2026-08-30T04:00,37.5665,126.978,22.9,27.1,93,0.0,2,4.0
2026-08-30T05:00,37.5665,126.978,22.4,26.7,95,0.0,3,2.5
2026-08-30T06:00,37.5665,126.978,22.3,26.3,94,0.0,2,4.0
2026-08-30T07:00,37.5665,126.978,22.1,26.1,95,0.4,51,3.7
2026-08-30T08:00,37.5665,126.978,22.2,26.6,95,0.0,3,1.4
2026-08-30T09:00,37.5665,126.978,22.7,27.0,94,0.2,51,3.6
2026-08-30T10:00,37.5665,126.978,23.8,28.0,88,0.0,2,3.8
2026-08-30T11:00,37.5665,126.978,25.0,29.5,84,0.0,2,4.0
2026-08-30T12:00,37.5665,126.978,26.0,30.3,79,0.0,2,4.2
2026-08-30T13:00,37.5665,126.978,26.6,31.0,74,0.0,2,2.4
2026-08-30T14:00,37.5665,126.978,27.1,31.3,73,0.0,2,3.9
2026-08-31T00:00,37.5665,126.978,23.4,28.2,95,0.2,51,2.9
2026-08-31T01:00,37.5665,126.978,23.3,28.2,97,0.8,53,3.4
2026-08-31T02:00,37.5665,126.978,23.2,28.1,97,0.4,51,2.6
2026-08-31T03:00,37.5665,126.978,23.2,27.9,97,1.9,61,4.0
2026-08-31T04:00,37.5665,126.978,23.0,27.8,97,1.1,55,3.3
2026-08-31T05:00,37.5665,126.978,22.9,27.7,97,1.7,61,2.6
2026-08-31T06:00,37.5665,126.978,23.0,27.7,96,0.6,53,2.9
2026-08-31T07:00,37.5665,126.978,22.9,27.7,97,0.3,51,2.6
2026-08-31T08:00,37.5665,126.978,23.3,28.0,95,0.7,53,3.7
2026-08-31T09:00,37.5665,126.978,23.7,28.4,95,1.9,61,5.0
2026-08-31T10:00,37.5665,126.978,23.8,28.7,95,2.0,61,4.1
2026-08-31T11:00,37.5665,126.978,23.9,28.6,95,2.8,63,6.3
2026-08-31T12:00,37.5665,126.978,24.1,28.2,91,3.3,63,8.1
